BS_IP,BS_MAC,A_WG_IP,A_YW_IP,A_PORT,PW,B_IP
8.152.18.195,e4c2.d1e9.88d3,4.112.224.146,3.112.224.146,GE0/5/2.200,pw20066,14.152.242.30
8.132.98.8,0015.eb94.b872,4.112.224.146,3.112.224.146,GE0/6/5.200,pw20077,14.152.242.30
8.147.17.245,a4a1.c237.0739,4.112.0.254,3.112.0.254,GE0/1/6.200,pw20100,14.152.164.131
8.147.17.246,a4a1.c237.0739,4.112.0.254,3.112.0.254,GE0/1/6.300,pw20101,14.152.164.131
8.147.17.247,a4a1.c235.bd67,4.112.0.254,3.112.0.254,GE0/1/7.200,pw20102,14.152.164.131
8.147.17.248,a4a1.c235.bd67,4.112.0.254,3.112.0.254,GE0/1/7.300,pw20103,14.152.164.131
8.147.33.101,a4a1.c27a.3bef,4.112.0.254,3.112.0.254,GE0/1/8.200,pw20226,14.152.164.131
8.147.33.102,a4a1.c27a.3bef,4.112.0.254,3.112.0.254,GE0/1/8.300,pw20227,14.152.164.131
8.147.33.103,a4a1.c27a.39fe,4.112.0.254,3.112.0.254,GE0/1/9.200,pw20228,14.152.164.131
8.147.33.104,a4a1.c27a.39fe,4.112.0.254,3.112.0.254,GE0/1/9.300,pw20229,14.152.164.131
8.147.17.245,a4a1.c237.0739,4.112.0.254,3.112.0.254,GE0/1/6.200,pw10100,14.152.164.130
8.147.17.246,a4a1.c237.0739,4.112.0.254,3.112.0.254,GE0/1/6.300,pw10101,14.152.164.130
8.147.17.247,a4a1.c235.bd67,4.112.0.254,3.112.0.254,GE0/1/7.200,pw10102,14.152.164.130
8.147.17.248,a4a1.c235.bd67,4.112.0.254,3.112.0.254,GE0/1/7.300,pw10103,14.152.164.130
8.147.33.101,a4a1.c27a.3bef,4.112.0.254,3.112.0.254,GE0/1/8.200,pw10226,14.152.164.130
8.147.33.102,a4a1.c27a.3bef,4.112.0.254,3.112.0.254,GE0/1/8.300,pw10227,14.152.164.130
8.147.33.103,a4a1.c27a.39fe,4.112.0.254,3.112.0.254,GE0/1/9.200,pw10228,14.152.164.130
8.147.33.104,a4a1.c27a.39fe,4.112.0.254,3.112.0.254,GE0/1/9.300,pw10229,14.152.164.130
8.149.22.153,8038.bc15.0de4,4.111.224.229,3.111.224.229,GE0/6/4.200,pw20026,14.152.160.136
8.149.22.159,688f.84f9.ae08,4.111.224.229,3.111.224.229,GE0/6/1.200,pw20023,14.152.160.136
8.149.22.163,9c37.f48e.e0c4,4.111.224.229,3.111.224.229,GE0/5/1.200,pw20019,14.152.160.136
8.149.22.179,88a2.d71e.dadf,4.111.224.229,3.111.224.229,GE0/5/3.200,pw20021,14.152.160.136
8.149.22.153,8038.bc15.0de4,4.111.224.229,3.111.224.229,GE0/6/4.200,pw10026,14.152.160.135
8.149.22.159,688f.84f9.ae08,4.111.224.229,3.111.224.229,GE0/6/1.200,pw10023,14.152.160.135
8.149.22.163,9c37.f48e.e0c4,4.111.224.229,3.111.224.229,GE0/5/1.200,pw10019,14.152.160.135
8.149.22.179,88a2.d71e.dadf,4.111.224.229,3.111.224.229,GE0/5/3.200,pw10021,14.152.160.135
8.147.17.155,a4a1.c233.e63c,4.112.0.249,3.112.0.249,GE0/1/6.200,pw20082,14.152.164.131
8.147.17.156,a4a1.c233.e63c,4.112.0.249,3.112.0.249,GE0/1/6.300,pw20083,14.152.164.131
8.147.17.157,a4a1.c233.efa4,4.112.0.249,3.112.0.249,GE0/1/7.200,pw20084,14.152.164.131
8.147.17.158,a4a1.c233.efa4,4.112.0.249,3.112.0.249,GE0/1/7.300,pw20085,14.152.164.131
8.147.33.33,a4a1.c237.2d4e,4.112.0.249,3.112.0.249,GE0/1/9.200,pw20160,14.152.164.131
8.147.33.34,a4a1.c237.2d4e,4.112.0.249,3.112.0.249,GE0/1/9.300,pw20161,14.152.164.131
8.147.33.57,a4a1.c234.0567,4.112.0.249,3.112.0.249,GE0/1/8.200,pw20158,14.152.164.131
8.147.33.58,a4a1.c234.0567,4.112.0.249,3.112.0.249,GE0/1/8.300,pw20159,14.152.164.131
8.147.17.155,a4a1.c233.e63c,4.112.0.249,3.112.0.249,GE0/1/6.200,pw10082,14.152.164.130
8.147.17.156,a4a1.c233.e63c,4.112.0.249,3.112.0.249,GE0/1/6.300,pw10083,14.152.164.130
8.147.17.157,a4a1.c233.efa4,4.112.0.249,3.112.0.249,GE0/1/7.200,pw10084,14.152.164.130
8.147.17.158,a4a1.c233.efa4,4.112.0.249,3.112.0.249,GE0/1/7.300,pw10085,14.152.164.130
8.147.33.33,a4a1.c237.2d4e,4.112.0.249,3.112.0.249,GE0/1/9.200,pw10160,14.152.164.130
8.147.33.34,a4a1.c237.2d4e,4.112.0.249,3.112.0.249,GE0/1/9.300,pw10161,14.152.164.130
8.147.33.57,a4a1.c234.0567,4.112.0.249,3.112.0.249,GE0/1/8.200,pw10158,14.152.164.130
8.147.33.58,a4a1.c234.0567,4.112.0.249,3.112.0.249,GE0/1/8.300,pw10159,14.152.164.130
8.147.18.3,a4a1.c234.9e66,4.112.0.150,3.112.0.150,GE0/1/6.200,pw20000,14.152.164.135
8.147.18.4,a4a1.c234.9e66,4.112.0.150,3.112.0.150,GE0/1/6.300,pw20001,14.152.164.135
8.147.18.17,a4a1.c236.6af0,4.112.0.150,3.112.0.150,GE0/1/9.200,pw20034,14.152.164.135
8.147.18.18,a4a1.c236.6af0,4.112.0.150,3.112.0.150,GE0/1/9.300,pw20035,14.152.164.135
8.147.18.19,a4a1.c233.e6dd,4.112.0.150,3.112.0.150,GE0/1/7.200,pw20002,14.152.164.135
8.147.18.20,a4a1.c233.e6dd,4.112.0.150,3.112.0.150,GE0/1/7.300,pw20003,14.152.164.135
8.147.18.21,a4a1.c236.e9c6,4.112.0.150,3.112.0.150,GE0/1/8.200,pw20004,14.152.164.135
8.147.18.22,a4a1.c236.e9c6,4.112.0.150,3.112.0.150,GE0/1/8.300,pw20005,14.152.164.135
8.147.18.3,a4a1.c234.9e66,4.112.0.150,3.112.0.150,GE0/1/6.200,pw10000,14.152.164.134
8.147.18.4,a4a1.c234.9e66,4.112.0.150,3.112.0.150,GE0/1/6.300,pw10001,14.152.164.134
8.147.18.17,a4a1.c236.6af0,4.112.0.150,3.112.0.150,GE0/1/9.200,pw10034,14.152.164.134
8.147.18.18,a4a1.c236.6af0,4.112.0.150,3.112.0.150,GE0/1/9.300,pw10035,14.152.164.134
8.147.18.19,a4a1.c233.e6dd,4.112.0.150,3.112.0.150,GE0/1/7.200,pw10002,14.152.164.134
8.147.18.20,a4a1.c233.e6dd,4.112.0.150,3.112.0.150,GE0/1/7.300,pw10003,14.152.164.134
8.147.18.21,a4a1.c236.e9c6,4.112.0.150,3.112.0.150,GE0/1/8.200,pw10004,14.152.164.134
8.147.18.22,a4a1.c236.e9c6,4.112.0.150,3.112.0.150,GE0/1/8.300,pw10005,14.152.164.134
8.149.16.130,a4a1.c234.9dcc,4.111.224.249,3.111.224.249,GE0/6/3.300,pw10013,14.152.160.147
8.149.16.131,a4a1.c234.9dcc,4.111.224.249,3.111.224.249,GE0/6/3.200,pw10012,14.152.160.147
8.149.16.134,a4a1.c234.700e,4.111.224.249,3.111.224.249,GE0/5/2.300,pw10003,14.152.160.147
8.149.16.135,a4a1.c234.700e,4.111.224.249,3.111.224.249,GE0/5/2.200,pw10002,14.152.160.147
8.149.16.146,a4a1.c233.9500,4.111.224.249,3.111.224.249,GE0/6/2.300,pw10011,14.152.160.147
8.149.16.147,a4a1.c233.9500,4.111.224.249,3.111.224.249,GE0/6/2.200,pw10010,14.152.160.147
8.149.16.154,a4a1.c233.e4f3,4.111.224.249,3.111.224.249,GE0/5/4.300,pw10007,14.152.160.147
8.149.16.155,a4a1.c233.e4f3,4.111.224.249,3.111.224.249,GE0/5/4.200,pw10006,14.152.160.147
8.149.16.162,a4a1.c236.41c9,4.111.224.249,3.111.224.249,GE0/6/4.300,pw10015,14.152.160.147
8.149.16.163,a4a1.c236.41c9,4.111.224.249,3.111.224.249,GE0/6/4.200,pw10014,14.152.160.147
8.149.16.130,a4a1.c234.9dcc,4.111.224.249,3.111.224.249,GE0/6/3.300,pw20013,14.152.160.148
8.149.16.131,a4a1.c234.9dcc,4.111.224.249,3.111.224.249,GE0/6/3.200,pw20012,14.152.160.148
8.149.16.134,a4a1.c234.700e,4.111.224.249,3.111.224.249,GE0/5/2.300,pw20003,14.152.160.148
8.149.16.135,a4a1.c234.700e,4.111.224.249,3.111.224.249,GE0/5/2.200,pw20002,14.152.160.148
8.149.16.146,a4a1.c233.9500,4.111.224.249,3.111.224.249,GE0/6/2.300,pw20011,14.152.160.148
8.149.16.147,a4a1.c233.9500,4.111.224.249,3.111.224.249,GE0/6/2.200,pw20010,14.152.160.148
8.149.16.154,a4a1.c233.e4f3,4.111.224.249,3.111.224.249,GE0/5/4.300,pw20007,14.152.160.148
8.149.16.155,a4a1.c233.e4f3,4.111.224.249,3.111.224.249,GE0/5/4.200,pw20006,14.152.160.148
8.149.16.162,a4a1.c236.41c9,4.111.224.249,3.111.224.249,GE0/6/4.300,pw20015,14.152.160.148
8.149.16.163,a4a1.c236.41c9,4.111.224.249,3.111.224.249,GE0/6/4.200,pw20014,14.152.160.148
8.147.17.45,a4a1.c236.4cd5,4.112.1.96,3.112.1.96,GE0/1/6.200,pw20056,14.152.164.133
8.147.17.46,a4a1.c236.4cd5,4.112.1.96,3.112.1.96,GE0/1/6.300,pw20057,14.152.164.133
8.147.17.45,a4a1.c236.4cd5,4.112.1.96,3.112.1.96,GE0/1/6.200,pw10056,14.152.164.132
8.147.17.46,a4a1.c236.4cd5,4.112.1.96,3.112.1.96,GE0/1/6.300,pw10057,14.152.164.132
8.131.198.3,48ad.083e.8794,4.112.1.65,3.112.1.65,GE0/1/1.200,pw20044,14.152.164.139
8.131.198.4,48ad.083e.8733,4.112.1.65,3.112.1.65,GE0/1/2.200,pw20042,14.152.164.139
8.147.16.27,a4a1.c236.6e38,4.112.1.65,3.112.1.65,GE0/1/8.200,pw20028,14.152.164.139
8.147.16.28,a4a1.c236.6e38,4.112.1.65,3.112.1.65,GE0/1/8.300,pw20029,14.152.164.139
8.147.16.31,a4a1.c236.4b62,4.112.1.65,3.112.1.65,GE0/1/9.200,pw20030,14.152.164.139
8.147.16.32,a4a1.c236.4b62,4.112.1.65,3.112.1.65,GE0/1/9.300,pw20031,14.152.164.139
8.147.16.47,a4a1.c27a.367e,4.112.1.65,3.112.1.65,GE0/1/6.300,pw20025,14.152.164.139
8.131.198.3,48ad.083e.8794,4.112.1.65,3.112.1.65,GE0/1/1.200,pw10044,14.152.164.138
8.131.198.4,48ad.083e.8733,4.112.1.65,3.112.1.65,GE0/1/2.200,pw10042,14.152.164.138
8.147.16.27,a4a1.c236.6e38,4.112.1.65,3.112.1.65,GE0/1/8.200,pw10028,14.152.164.138
8.147.16.28,a4a1.c236.6e38,4.112.1.65,3.112.1.65,GE0/1/8.300,pw10029,14.152.164.138
8.147.16.31,a4a1.c236.4b62,4.112.1.65,3.112.1.65,GE0/1/9.200,pw10030,14.152.164.138
8.147.16.32,a4a1.c236.4b62,4.112.1.65,3.112.1.65,GE0/1/9.300,pw10031,14.152.164.138
8.147.16.47,a4a1.c27a.367e,4.112.1.65,3.112.1.65,GE0/1/6.300,pw10025,14.152.164.138
8.152.14.154,fcc8.97d0.0885,4.112.224.66,3.112.224.66,GE0/5/1.200,pw10016,14.152.242.25
8.152.14.162,fcc8.97df.3684,4.112.224.66,3.112.224.66,GE0/6/1.200,pw10034,14.152.242.25
8.152.14.163,fcc8.97df.170b,4.112.224.66,3.112.224.66,GE0/5/2.200,pw10035,14.152.242.25
8.152.14.164,fcc8.97df.33a3,4.112.224.66,3.112.224.66,GE0/6/2.200,pw10036,14.152.242.25
8.152.14.165,fcc8.97df.4712,4.112.224.66,3.112.224.66,GE0/5/3.200,pw10037,14.152.242.25
8.152.14.154,fcc8.97d0.0885,4.112.224.66,3.112.224.66,GE0/5/1.200,pw20016,14.152.242.26
8.152.14.162,fcc8.97df.3684,4.112.224.66,3.112.224.66,GE0/6/1.200,pw20034,14.152.242.26
8.152.14.163,fcc8.97df.170b,4.112.224.66,3.112.224.66,GE0/5/2.200,pw20035,14.152.242.26
8.152.14.164,fcc8.97df.33a3,4.112.224.66,3.112.224.66,GE0/6/2.200,pw20036,14.152.242.26
8.152.14.165,fcc8.97df.4712,4.112.224.66,3.112.224.66,GE0/5/3.200,pw20037,14.152.242.26
8.152.13.135,688f.84f6.fe41,4.112.224.139,3.112.224.139,GE0/5/1.200,pw10012,14.152.242.5
8.152.13.145,688f.84f9.f457,4.112.224.139,3.112.224.139,GE0/6/1.200,pw10015,14.152.242.5
8.152.13.146,30d1.7e7c.513c,4.112.224.139,3.112.224.139,GE0/5/2.200,pw10016,14.152.242.5
8.152.13.165,30d1.7e7c.5054,4.112.224.139,3.112.224.139,GE0/6/2.200,pw10017,14.152.242.5
8.132.99.66,0015.eb95.fe7d,4.112.224.139,3.112.224.139,GE0/6/5.200,pw10041,14.152.242.5
8.152.13.135,688f.84f6.fe41,4.112.224.139,3.112.224.139,GE0/5/1.200,pw20012,14.152.242.6
8.152.13.145,688f.84f9.f457,4.112.224.139,3.112.224.139,GE0/6/1.200,pw20015,14.152.242.6
8.152.13.146,30d1.7e7c.513c,4.112.224.139,3.112.224.139,GE0/5/2.200,pw20016,14.152.242.6
8.152.13.165,30d1.7e7c.5054,4.112.224.139,3.112.224.139,GE0/6/2.200,pw20017,14.152.242.6
8.132.99.66,0015.eb95.fe7d,4.112.224.139,3.112.224.139,GE0/6/5.200,pw20041,14.152.242.6
8.147.18.166,688f.84f7.0edb,4.112.1.161,3.112.1.161,GE0/1/6.200,pw20078,14.152.164.151
8.147.18.166,688f.84f7.0edb,4.112.1.161,3.112.1.161,GE0/1/6.200,pw10078,14.152.164.150
8.147.16.157,a4a1.c234.6e0f,4.112.1.101,3.112.1.101,GE0/1/6.200,pw10028,14.152.164.136
8.147.16.158,a4a1.c234.6e0f,4.112.1.101,3.112.1.101,GE0/1/6.300,pw10029,14.152.164.136
8.147.16.157,a4a1.c234.6e0f,4.112.1.101,3.112.1.101,GE0/1/6.200,pw20028,14.152.164.137
8.147.16.158,a4a1.c234.6e0f,4.112.1.101,3.112.1.101,GE0/1/6.300,pw20029,14.152.164.137
8.131.198.2,48ad.083e.87b5,4.112.1.93,3.112.1.93,GE0/1/1.200,pw20043,14.152.164.139
8.147.16.33,a4a1.c236.46ed,4.112.1.93,3.112.1.93,GE0/1/6.200,pw20032,14.152.164.139
8.147.16.34,a4a1.c236.46ed,4.112.1.93,3.112.1.93,GE0/1/6.300,pw20033,14.152.164.139
8.147.16.35,a4a1.c236.e408,4.112.1.93,3.112.1.93,GE0/1/7.200,pw20036,14.152.164.139
8.147.16.36,a4a1.c236.e408,4.112.1.93,3.112.1.93,GE0/1/7.300,pw20037,14.152.164.139
8.147.16.37,a4a1.c234.9b64,4.112.1.93,3.112.1.93,GE0/1/8.200,pw20038,14.152.164.139
8.147.16.38,a4a1.c234.9b64,4.112.1.93,3.112.1.93,GE0/1/8.300,pw20039,14.152.164.139
8.147.16.39,a4a1.c234.9d78,4.112.1.93,3.112.1.93,GE0/1/9.200,pw20040,14.152.164.139
8.147.16.40,a4a1.c234.9d78,4.112.1.93,3.112.1.93,GE0/1/9.300,pw20041,14.152.164.139
8.131.198.2,48ad.083e.87b5,4.112.1.93,3.112.1.93,GE0/1/1.200,pw10043,14.152.164.138
8.147.16.33,a4a1.c236.46ed,4.112.1.93,3.112.1.93,GE0/1/6.200,pw10032,14.152.164.138
8.147.16.34,a4a1.c236.46ed,4.112.1.93,3.112.1.93,GE0/1/6.300,pw10033,14.152.164.138
8.147.16.35,a4a1.c236.e408,4.112.1.93,3.112.1.93,GE0/1/7.200,pw10036,14.152.164.138
8.147.16.36,a4a1.c236.e408,4.112.1.93,3.112.1.93,GE0/1/7.300,pw10037,14.152.164.138
8.147.16.37,a4a1.c234.9b64,4.112.1.93,3.112.1.93,GE0/1/8.200,pw10038,14.152.164.138
8.147.16.38,a4a1.c234.9b64,4.112.1.93,3.112.1.93,GE0/1/8.300,pw10039,14.152.164.138
8.147.16.39,a4a1.c234.9d78,4.112.1.93,3.112.1.93,GE0/1/9.200,pw10040,14.152.164.138
8.147.16.40,a4a1.c234.9d78,4.112.1.93,3.112.1.93,GE0/1/9.300,pw10041,14.152.164.138
8.152.19.11,688f.84f7.009d,4.112.224.151,3.112.224.151,GE0/1/10.200,pw10005,14.152.242.31
8.152.19.21,e4c2.d1e9.891b,4.112.224.151,3.112.224.151,GE0/3/8.200,pw10019,14.152.242.31
8.152.19.11,688f.84f7.009d,4.112.224.151,3.112.224.151,GE0/1/10.200,pw20005,14.152.242.32
8.152.19.21,e4c2.d1e9.891b,4.112.224.151,3.112.224.151,GE0/3/8.200,pw20019,14.152.242.32
8.152.19.140,9c37.f48e.efc8,4.112.225.65,3.112.225.65,GE0/5/1.200,pw10009,14.152.242.33
8.152.19.141,688f.84f9.f64b,4.112.225.65,3.112.225.65,GE0/6/1.200,pw10010,14.152.242.33
8.152.19.159,e4c2.d1e7.69fe,4.112.225.65,3.112.225.65,GE0/5/2.200,pw10026,14.152.242.33
8.152.19.160,e4c2.d1e9.88b7,4.112.225.65,3.112.225.65,GE0/6/2.200,pw10030,14.152.242.33
8.152.19.161,e4c2.d1e9.88ab,4.112.225.65,3.112.225.65,GE0/5/3.200,pw10031,14.152.242.33
8.152.19.162,e4c2.d1e9.892b,4.112.225.65,3.112.225.65,GE0/6/3.200,pw10032,14.152.242.33
8.152.19.140,9c37.f48e.efc8,4.112.225.65,3.112.225.65,GE0/5/1.200,pw20009,14.152.242.34
8.152.19.141,688f.84f9.f64b,4.112.225.65,3.112.225.65,GE0/6/1.200,pw20010,14.152.242.34
8.152.19.159,e4c2.d1e7.69fe,4.112.225.65,3.112.225.65,GE0/5/2.200,pw20026,14.152.242.34
8.152.19.160,e4c2.d1e9.88b7,4.112.225.65,3.112.225.65,GE0/6/2.200,pw20030,14.152.242.34
8.152.19.161,e4c2.d1e9.88ab,4.112.225.65,3.112.225.65,GE0/5/3.200,pw20031,14.152.242.34
8.152.19.162,e4c2.d1e9.892b,4.112.225.65,3.112.225.65,GE0/6/3.200,pw20032,14.152.242.34
8.147.34.21,a4a1.c236.4ecd,4.112.1.111,3.112.1.111,GE0/5/1.200,pw10022,14.152.164.156
8.147.34.22,a4a1.c236.4ecd,4.112.1.111,3.112.1.111,GE0/5/1.300,pw10023,14.152.164.156
8.147.34.23,a4a1.c234.6bed,4.112.1.111,3.112.1.111,GE0/6/1.200,pw10024,14.152.164.156
8.147.34.24,a4a1.c234.6bed,4.112.1.111,3.112.1.111,GE0/6/1.300,pw10025,14.152.164.156
8.147.34.25,a4a1.c237.0fa5,4.112.1.111,3.112.1.111,GE0/5/2.200,pw10026,14.152.164.156
8.147.34.26,a4a1.c237.0fa5,4.112.1.111,3.112.1.111,GE0/5/2.300,pw10027,14.152.164.156
8.147.34.27,a4a1.c237.083c,4.112.1.111,3.112.1.111,GE0/6/2.200,pw10028,14.152.164.156
8.147.34.28,a4a1.c237.083c,4.112.1.111,3.112.1.111,GE0/6/2.300,pw10029,14.152.164.156
8.147.34.29,a4a1.c232.8d38,4.112.1.111,3.112.1.111,GE0/5/3.200,pw10030,14.152.164.156
8.147.34.30,a4a1.c232.8d38,4.112.1.111,3.112.1.111,GE0/5/3.300,pw10031,14.152.164.156
8.147.34.31,a4a1.c233.eb05,4.112.1.111,3.112.1.111,GE0/6/3.200,pw10032,14.152.164.156
8.147.34.32,a4a1.c233.eb05,4.112.1.111,3.112.1.111,GE0/6/3.300,pw10033,14.152.164.156
8.147.34.21,a4a1.c236.4ecd,4.112.1.111,3.112.1.111,GE0/5/1.200,pw20022,14.152.164.157
8.147.34.22,a4a1.c236.4ecd,4.112.1.111,3.112.1.111,GE0/5/1.300,pw20023,14.152.164.157
8.147.34.23,a4a1.c234.6bed,4.112.1.111,3.112.1.111,GE0/6/1.200,pw20024,14.152.164.157
8.147.34.24,a4a1.c234.6bed,4.112.1.111,3.112.1.111,GE0/6/1.300,pw20025,14.152.164.157
8.147.34.25,a4a1.c237.0fa5,4.112.1.111,3.112.1.111,GE0/5/2.200,pw20026,14.152.164.157
8.147.34.26,a4a1.c237.0fa5,4.112.1.111,3.112.1.111,GE0/5/2.300,pw20027,14.152.164.157
8.147.34.27,a4a1.c237.083c,4.112.1.111,3.112.1.111,GE0/6/2.200,pw20028,14.152.164.157
8.147.34.28,a4a1.c237.083c,4.112.1.111,3.112.1.111,GE0/6/2.300,pw20029,14.152.164.157
8.147.34.29,a4a1.c232.8d38,4.112.1.111,3.112.1.111,GE0/5/3.200,pw20030,14.152.164.157
8.147.34.30,a4a1.c232.8d38,4.112.1.111,3.112.1.111,GE0/5/3.300,pw20031,14.152.164.157
8.147.34.31,a4a1.c233.eb05,4.112.1.111,3.112.1.111,GE0/6/3.200,pw20032,14.152.164.157
8.147.34.32,a4a1.c233.eb05,4.112.1.111,3.112.1.111,GE0/6/3.300,pw20033,14.152.164.157
8.147.18.130,8038.bc17.6c85,4.112.0.138,3.112.0.138,GE0/5/1.200,pw20000,14.152.164.151
8.147.18.131,688f.84f7.21fd,4.112.0.138,3.112.0.138,GE0/6/1.200,pw20004,14.152.164.151
8.147.18.132,8038.bc14.5f83,4.112.0.138,3.112.0.138,GE0/6/4.200,pw20007,14.152.164.151
8.147.18.133,688f.84f7.0dc3,4.112.0.138,3.112.0.138,GE0/6/2.200,pw20005,14.152.164.151
8.147.18.134,688f.84f7.0e27,4.112.0.138,3.112.0.138,GE0/6/8.200,pw20011,14.152.164.151
8.147.18.137,8038.bc14.5e83,4.112.0.138,3.112.0.138,GE0/6/7.200,pw20010,14.152.164.151
8.147.18.138,8038.bc14.6a43,4.112.0.138,3.112.0.138,GE0/5/3.200,pw20002,14.152.164.151
8.147.18.139,8038.bc14.60a7,4.112.0.138,3.112.0.138,GE0/6/3.200,pw20006,14.152.164.151
8.147.18.140,8038.bc14.5f8f,4.112.0.138,3.112.0.138,GE0/5/4.200,pw20003,14.152.164.151
8.147.18.141,8038.bc14.616f,4.112.0.138,3.112.0.138,GE0/5/2.200,pw20001,14.152.164.151
8.147.18.142,8038.bc14.61eb,4.112.0.138,3.112.0.138,GE0/6/6.200,pw20009,14.152.164.151
8.147.18.143,8038.bc14.69ab,4.112.0.138,3.112.0.138,GE0/6/5.200,pw20008,14.152.164.151
8.147.18.130,8038.bc17.6c85,4.112.0.138,3.112.0.138,GE0/5/1.200,pw10000,14.152.164.150
8.147.18.131,688f.84f7.21fd,4.112.0.138,3.112.0.138,GE0/6/1.200,pw10004,14.152.164.150
8.147.18.132,8038.bc14.5f83,4.112.0.138,3.112.0.138,GE0/6/4.200,pw10007,14.152.164.150
8.147.18.133,688f.84f7.0dc3,4.112.0.138,3.112.0.138,GE0/6/2.200,pw10005,14.152.164.150
8.147.18.134,688f.84f7.0e27,4.112.0.138,3.112.0.138,GE0/6/8.200,pw10011,14.152.164.150
8.147.18.137,8038.bc14.5e83,4.112.0.138,3.112.0.138,GE0/6/7.200,pw10010,14.152.164.150
8.147.18.138,8038.bc14.6a43,4.112.0.138,3.112.0.138,GE0/5/3.200,pw10002,14.152.164.150
8.147.18.139,8038.bc14.60a7,4.112.0.138,3.112.0.138,GE0/6/3.200,pw10006,14.152.164.150
8.147.18.140,8038.bc14.5f8f,4.112.0.138,3.112.0.138,GE0/5/4.200,pw10003,14.152.164.150
8.147.18.141,8038.bc14.616f,4.112.0.138,3.112.0.138,GE0/5/2.200,pw10001,14.152.164.150
8.147.18.142,8038.bc14.61eb,4.112.0.138,3.112.0.138,GE0/6/6.200,pw10009,14.152.164.150
8.147.18.143,8038.bc14.69ab,4.112.0.138,3.112.0.138,GE0/6/5.200,pw10008,14.152.164.150
8.147.32.133,9c37.f48e.e48c,4.112.1.77,3.112.1.77,GE0/1/6.200,pw10000,14.152.164.152
8.147.32.133,9c37.f48e.e48c,4.112.1.77,3.112.1.77,GE0/1/6.200,pw20000,14.152.164.153
8.149.22.140,643e.8c81.f07f,4.111.224.224,3.111.224.224,GE0/6/1.200,pw20032,14.152.160.136
8.149.22.141,643e.8c81.f11f,4.111.224.224,3.111.224.224,GE0/5/3.200,pw20035,14.152.160.136
